Ladybird.ID,Sex,Age,Mass.Ave,Width,Length,Avg_area,Mass.per.area,Tuck.mean,Right.mean,Shelter.mean,NSA.contact.mean,NSA.time.mean,P.contact.mean
1,F,11,0.021,4,6,24,0.000875,0,4.336,5,0.666666667,322,6.333333333
2,M,4,0.023,5,7,35,0.000657143,9.333333333,25.66666667,8,8.5,891,16
3,F,NA,0.0303,6,10,49.5,0.000612121,0,18.70666667,20,0.666666667,84,7.666666667
4,M,NA,0.03605,5,6,38.5,0.000936364,115.8,74.56666667,4.15,0.75,183.6666667,3
6,M,NA,0.024,4,7,26,0.000923077,11.33333333,22.35666667,10.35,0,NA,1.5
7,M,4,0.0234,5,7,32.5,0.00072,3.061666667,8.891666667,11.1625,1.333333333,289,3
8,F,NA,0.0352,4,8,40,0.00088,0,3.836666667,5.625,0.666666667,137,2.5
9,M,11,0.0221,6,7,35.75,0.000618182,0,3.098333333,5,0,472.5,1
10,M,11,0.0273,5,7,39.875,0.000684639,0,0.511666667,451.5,0.666666667,604,1.5
11,F,9,0.0257,NA,NA,20,0.001285,3.24,6.8,6.31,1,454,3.5
12,F,17,0.0455,6,8,46.75,0.000973262,0,4.705,16.5325,2,511.81,4.333333333
13,F,18,0.04375,6,9,54,0.000810185,0,1.89,18.51,2.666666667,720,13
14,F,11,0.029,4,6,29.25,0.000991453,2.333333333,17.995,17.375,0.5,641,4
15,F,NA,0.0452,5,8,46.75,0.000966845,0.375,21.09833333,9.45,2,341.5,7.5
16,M,,0.0254,5,7,32.5,0.000781538,0,6.875,6.2,0.333333333,454.375,4
17,M,NA,0.0271,5,7,35,0.000774286,0.201666667,2.801666667,11.86,0,453.455,5
18,M,18,NA,5,7,35,NA,NA,NA,NA,NA,NA,NA
19,F,11,0.0312,6,7,36.75,0.00084898,0.081666667,2.815,7.1,1,360.05,0.666666667
20,M,9,0.02385,6,8,44,0.000542045,0.166666667,4.231666667,7.1325,0,NA,2
21,F,11,0.02855,5,7,40,0.00071375,0.25,8.015,13,1,444.955,9.666666667
22,F,17,0.0227,5,7,38.5,0.00058961,4.5,20.89,10.14,0,213.1333333,0.666666667
23,F,17,0.035,5,7,35,0.001,0,2.503333333,9,0,NA,11
24,F,11,0.037,6,7,38.5,0.000961039,0,3.375,8.9,0.333333333,15.35333333,3
25,M,14,0.0305,5,7,38.5,0.000792208,0,3.24,9,0,NA,1.5
26,F,9,0.03095,5,7,38.5,0.000803896,0,5.406666667,93.5625,0.333333333,190,4.333333333
27,M,11,0.0244,5,8,37.5,0.000650667,0,23.27666667,5.6425,1,173.5,1.666666667
28,M,9,0.025,4,7,31.5,0.000793651,0.933333333,8.708333333,6.42,0,NA,7
29,F,2,0.0318,5,8,37.5,0.000848,0,2.766666667,7.4,1,226,4
30,M,2,0.0217,5,8,36.25,0.000598621,0,1.1875,9.2,0.5,216.95,2.5
31,M,9,0.035,NA,NA,31.5,0.001111111,0.1,1.456666667,106.255,0,60.605,2.5
32,F,9,0.0187,4,6,24,0.000779167,5.333333333,25.83333333,35,3.333333333,55.5,6.5
33,M,11,0.02855,5,7,32.5,0.000878462,3.333333333,13.42833333,20,1,106.41,8
34,F,4,0.03265,4,7,29.25,0.001116239,0,11.858,20,0,NA,7
36,F,11,0.0227,4,6,29.25,0.000776068,0.1,5.006666667,7.0675,0,900,4.333333333
37,F,11,0.0334,6,8,48,0.000695833,0.2,3.575,20,0,8.335,1
38,F,17,0.03505,5,7,37.5,0.000934667,3.146666667,12.05666667,19.7,0,62.345,7.333333333
39,M,14,0.0258,5,7,32.5,0.000793846,0,182.1033333,19.71,0,624.47,0
40,M,2,0.019,5,7,29.25,0.000649573,38.91,91.61,16,1.666666667,92.5,8.333333333
41,M,7,0.0239,4,7,31.5,0.00075873,0.03,2.888333333,6.3,1.5,223.265,3
42,F,9,0.0377,6,8,48,0.000785417,0,19.83333333,8.5,0.75,240.25,0.5
43,M,11,0.0295,4,7,31.5,0.000936508,1.946666667,7.213333333,5.07,0,NA,0
44,F,7,0.02375,5,7,30,0.000791667,0,2.983333333,7,1,104,12
45,M,11,0.0213,5,6,29.6875,0.000717474,0,5.373333333,452.3975,1,31,0
46,F,9,0.0255,NA,NA,35,0.000728571,0,11.6,9,0,524,1
47,F,7,0.0253,5,6,32.5,0.000778462,23.1,16.43333333,12,0,12,0
48,M,4,0.036,4,7,28,0.001285714,25.40333333,31.85666667,8,0,NA,1
